"Dependency","BugCategory","Rho","Pvalue"
"npm-run-all2","Async / Event",NA,NA
"npm-run-all2","Logic Error",NA,NA
"npm-run-all2","Missing Case",NA,NA
"npm-run-all2","Missing Feature",NA,NA
"npm-run-all2","Performance Issue",NA,NA
"npm-run-all2","Runtime Exception",NA,NA
"npm-run-all2","Test Fault",NA,NA
"npm-run-all2","Tooling / Config",NA,NA
"npm-run-all2","Type Error",NA,NA
"npm-run-all2","UI Bug",NA,NA
"npm-run-all2","Error Handling",NA,NA
"npm-run-all2","Total_Bugs",NA,NA
"rimraf","API Misuse",0.11913662534595,0.53819284592929
"rimraf","Async / Event",-0.136487827406004,0.480192507950205
"rimraf","Logic Error",0.0250931909087085,0.897193857272822
"rimraf","Missing Case",-0.24975159126384,0.191344091736998
"rimraf","Missing Feature",-0.247777239416486,0.194993609360343
"rimraf","Performance Issue",-0.153522062157279,0.426551928438762
"rimraf","Runtime Exception",-0.197449625919697,0.304571574748599
"rimraf","Test Fault",-0.347832796499967,0.0644639866476502
"rimraf","Tooling / Config",-0.0248072101257115,0.898359479865297
"rimraf","Type Error",0.259634768941963,0.173787740573013
"rimraf","UI Bug",0.36300808171385,0.0529321723158116
"rimraf","Error Handling",-0.0740740740740741,0.70255046974996
"rimraf","Total_Bugs",-0.212971714445963,0.267333220804821
"jest-mock","API Misuse",0.307261729443555,0.10493846504771
"jest-mock","Async / Event",0.0236930951225185,0.902902427194582
"jest-mock","Logic Error",0.232317805107122,0.225238454123938
"jest-mock","Missing Case",-0.173418782356682,0.368304950696809
"jest-mock","Missing Feature",-0.172047861388454,0.372161276684726
"jest-mock","Performance Issue",-0.106600358177805,0.582057766986335
"jest-mock","Runtime Exception",-0.13710212427677,0.47819985744571
"jest-mock","Test Fault",0.25302403842553,0.185399975656732
"jest-mock","Tooling / Config",-0.275604165043979,0.14787236930993
"jest-mock","Type Error",0.26751421048956,0.160628233596328
"jest-mock","UI Bug",0.114572788101327,0.553979341124824
"jest-mock","Error Handling",-0.051434449987364,0.791029093662479
"jest-mock","Total_Bugs",0.25025866535631,0.190414485109519
"supertest","API Misuse",-0.212719658845538,0.267913204541308
"supertest","Async / Event",-0.213237856102666,0.266721709166055
"supertest","Logic Error",0.0580794512767805,0.764739937710507
"supertest","Missing Case",-0.173418782356682,0.368304950696809
"supertest","Missing Feature",-0.172047861388454,0.372161276684726
"supertest","Performance Issue",0.335029697130245,0.0756379369702356
"supertest","Runtime Exception",0.260494036125864,0.172316907519846
"supertest","Test Fault",-0.103509833901353,0.593108304840364
"supertest","Tooling / Config",0.287087671920811,0.131042993361956
"supertest","Type Error",-0.290776315749522,0.125946869553641
"supertest","UI Bug",-0.25206013382292,0.187137273665014
"supertest","Error Handling",-0.051434449987364,0.791029093662479
"supertest","Total_Bugs",0.10237854491849,0.597175895502972
"vitest","API Misuse",0.0708054744182254,0.715122255024445
"vitest","Async / Event",0.0993691448458609,0.608054061812935
"vitest","Logic Error",-0.118313182328311,0.541025346485119
"vitest","Missing Case",0.133589497514415,0.489651374484129
"vitest","Missing Feature",0.235614999984806,0.218537488775181
"vitest","Performance Issue",0.0729931868601812,0.706699512851196
"vitest","Runtime Exception",-0.00821440096816907,0.966266964523399
"vitest","Test Fault",-0.0206724557648681,0.915234169235827
"vitest","Tooling / Config",0.103204232433995,0.594205925300572
"vitest","Type Error",-0.125436301501064,0.516758289974267
"vitest","UI Bug",-0.0137291355107739,0.943648716382923
